location,lat,long,alt,year,bloom_date,bloom_doyA,month,meantemp,Jan_max,tmin1,precip1,Feb_max,tmin2,precip2,latdata,longdata,altdata,datasource
newyorkcity,40.7304,-73.99809,8.5,2020,NA,NA,2,NA,7,0.7,NA,7.8,0.9,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2021,NA,NA,2,NA,5.3,0,NA,4.4,-1.1,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2022,NA,NA,2,NA,1.3,-3.9,NA,7.6,-1.4,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2023,NA,NA,2,NA,9.1,3.4,NA,8.9,0.8,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2002,NA,NA,2,NA,7.5,NA,NA,9,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2003,NA,NA,2,NA,0.611111111,NA,NA,2.055555556,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2004,NA,NA,2,NA,-0.111111111,NA,NA,5.388888889,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2005,NA,NA,2,NA,2.5,NA,NA,5.277777778,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2006,NA,NA,2,NA,9.166666667,NA,NA,6.166666667,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2007,NA,NA,2,NA,7.111111111,NA,NA,2.111111111,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2008,NA,NA,2,NA,6.277777778,NA,NA,6.722222222,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2009,NA,NA,2,NA,1.222222222,NA,NA,6.944444444,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2010,NA,NA,2,NA,3.444444444,NA,NA,3.444444444,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2011,NA,NA,2,NA,2.555555556,NA,NA,6.833333333,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2012,NA,NA,2,NA,6.833333333,NA,NA,8.333333333,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2013,NA,NA,2,NA,5.222222222,NA,NA,4.333333333,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2014,NA,NA,2,NA,2,NA,NA,3,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2015,NA,NA,2,NA,2.222222222,NA,NA,0,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2016,NA,NA,2,NA,5.5,NA,NA,7.555555556,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2017,NA,NA,2,NA,6.888888889,NA,NA,10,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2018,NA,NA,2,NA,3.5,NA,NA,10.05555556,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
newyorkcity,40.7304,-73.99809,8.5,2019,NA,NA,2,NA,5.666666667,NA,NA,8.888888889,NA,NA,40.77945,-73.88027,3,Laguardia_Airport
